datetime,hr,rri
2019-04-02 19:59:35.037,74, 832
2019-04-02 19:59:36.022,74, 848
2019-04-02 19:59:37.011,74, 844
2019-04-02 19:59:38.000,74, 801
2019-04-02 19:59:38.996,74, 771
2019-04-02 19:59:39.996,74, 811
2019-04-02 19:59:40.971,75, 833
2019-04-02 19:59:41.965,74, 869
2019-04-02 19:59:42.955,74, 864
2019-04-02 19:59:43.944,73, 846
2019-04-02 19:59:44.940,73, 840
2019-04-02 19:59:45.933,73, 861
2019-04-02 19:59:46.913,73, 856
2019-04-02 19:59:47.904,72, 830
2019-04-02 19:59:48.890,72, 745
2019-04-02 19:59:49.888,73, 731
2019-04-02 19:59:50.877,75, 755
2019-04-02 19:59:51.870,75, 817
2019-04-02 19:59:52.852,75, 824
2019-04-02 19:59:53.841,75, 807
2019-04-02 19:59:54.843,75, 785
2019-04-02 19:59:55.824,75, 810
2019-04-02 19:59:56.810,75, 833
2019-04-02 19:59:57.801,74, 826
2019-04-02 19:59:58.790,74, 811
2019-04-02 19:59:59.786,74, 761
2019-04-02 20:00:00.775,75, 764
2019-04-02 20:00:02.256,75, 767
2019-04-02 20:00:03.250,76, 747
2019-04-02 20:00:04.235,76, 738
2019-04-02 20:00:05.229,77, 716
2019-04-02 20:00:06.216,78, 714
2019-04-02 20:00:07.219,79, 752
2019-04-02 20:00:08.195,79, 794
2019-04-02 20:00:09.190,78, 817
2019-04-02 20:00:10.176,78, 781
2019-04-02 20:00:11.170,78, 775
2019-04-02 20:00:12.156,78, 806
2019-04-02 20:00:13.144,77, 827
2019-04-02 20:00:14.138,77, 778
2019-04-02 20:00:15.129,77, 710
2019-04-02 20:00:16.115,78, 654
2019-04-02 20:00:17.120,81, 637
2019-04-02 20:00:18.095,82, 711
2019-04-02 20:00:19.084,82, 765
2019-04-02 20:00:20.082,82, 772
2019-04-02 20:00:22.066,81, 769
2019-04-02 20:00:22.088,81, 823
2019-04-02 20:00:23.059,80, 846
2019-04-02 20:00:24.036,80, 868
2019-04-02 20:00:25.029,79, 872
2019-04-02 20:00:26.014,77, 871
2019-04-02 20:00:27.502,76, 773
2019-04-02 20:00:27.997,76, 725
2019-04-02 20:00:28.984,77, 717
2019-04-02 20:00:29.974,77, 798
2019-04-02 20:00:30.968,78, 855
2019-04-02 20:00:31.956,77, 902
2019-04-02 20:00:32.948,76, 891
2019-04-02 20:00:33.946,75, 875
2019-04-02 20:00:34.926,74, 890
2019-04-02 20:00:35.917,74, 922
2019-04-02 20:00:36.913,72, 919
2019-04-02 20:00:37.898,72, 834
2019-04-02 20:00:38.885,71, 798
2019-04-02 20:00:39.875,72, 798
2019-04-02 20:00:40.868,72, 811
2019-04-02 20:00:41.864,72, 845
2019-04-02 20:00:42.848,72, 822
2019-04-02 20:00:43.837,72, 800
2019-04-02 20:00:44.834,72, 811
2019-04-02 20:00:45.817,73, 865
2019-04-02 20:00:46.808,72, 875
2019-04-02 20:00:47.794,72, 868
2019-04-02 20:00:48.797,71, 814
2019-04-02 20:00:49.779,71, 791
2019-04-02 20:00:50.764,72, 814
2019-04-02 20:00:52.249,72, 807
2019-04-02 20:00:53.240,72, 800
2019-04-02 20:00:54.237,73, 762
2019-04-02 20:00:55.219,74, 747
2019-04-02 20:00:56.212,74, 830
2019-04-02 20:00:57.199,74, 879
2019-04-02 20:00:58.192,74, 882
2019-04-02 20:00:59.189,73, 858
2019-04-02 20:01:00.169,73, 834
2019-04-02 20:01:01.159,73, 870
2019-04-02 20:01:02.150,72, 896
2019-04-02 20:01:03.147,71, 874
2019-04-02 20:01:04.129,71, 823
2019-04-02 20:01:05.125,71, 780
2019-04-02 20:01:06.113,72, 684
2019-04-02 20:01:07.099,77, 643
2019-04-02 20:01:08.096,79, 708
2019-04-02 20:01:09.081,80, 799
2019-04-02 20:01:10.071,80, 852
2019-04-02 20:01:11.060,79, 874
2019-04-02 20:01:12.058,77, 835
2019-04-02 20:01:13.039,77, 844
2019-04-02 20:01:14.043,76, 818
2019-04-02 20:01:15.019,76, 763
2019-04-02 20:01:16.009,76, 721
2019-04-02 20:01:16.998,78, 704
2019-04-02 20:01:17.990,78, 684
2019-04-02 20:01:18.985,80, 695
2019-04-02 20:01:19.969,81, 658
2019-04-02 20:01:20.959,83, 629
2019-04-02 20:01:21.949,90, 586
2019-04-02 20:01:22.943,92, 578
2019-04-02 20:01:23.930,95, 587
2019-04-02 20:01:24.919,97, 612
2019-04-02 20:01:25.908,97, 643
2019-04-02 20:01:26.905,96, 660
2019-04-02 20:01:27.890,95, 642
2019-04-02 20:01:28.884,94, 641
2019-04-02 20:01:29.869,95, 619
2019-04-02 20:01:30.862,95, 588
2019-04-02 20:01:31.849,97, 585
2019-04-02 20:01:32.837,99, 599
2019-04-02 20:01:33.838,99, 609
2019-04-02 20:01:34.819,99, 613
2019-04-02 20:01:35.808,98, 625
2019-04-02 20:01:36.798,97, 648
2019-04-02 20:01:38.778,96, 696
2019-04-02 20:01:38.789,95, 713
2019-04-02 20:01:39.772,92, 709
2019-04-02 20:01:41.257,91, 695
2019-04-02 20:01:42.244,89, 705
2019-04-02 20:01:43.233,89, 672
2019-04-02 20:01:44.226,89, 678
2019-04-02 20:01:45.217,89, 645
2019-04-02 20:01:46.202,90, 626
2019-04-02 20:01:47.194,91, 670
2019-04-02 20:01:48.190,90, 687
2019-04-02 20:01:49.172,90, 709
2019-04-02 20:01:50.163,89, 751
2019-04-02 20:01:51.153,87, 767
2019-04-02 20:01:52.149,86, 739
2019-04-02 20:01:53.148,85, 750
2019-04-02 20:01:54.127,84, 753
2019-04-02 20:01:55.113,84, 699
2019-04-02 20:01:56.102,84, 708
2019-04-02 20:01:57.097,84, 689
2019-04-02 20:01:58.090,85, 661
2019-04-02 20:01:59.073,86, 657
2019-04-02 20:02:00.062,87, 654
2019-04-02 20:02:01.062,89, 624
2019-04-02 20:02:02.042,90, 595
2019-04-02 20:02:04.027,93, 582
2019-04-02 20:02:05.023,96, 587
2019-04-02 20:02:05.062,97, 615
2019-04-02 20:02:06.010,97, 605
2019-04-02 20:02:06.998,98, 592
2019-04-02 20:02:07.996,100, 566
2019-04-02 20:02:08.974,101, 560
2019-04-02 20:02:09.962,103, 592
2019-04-02 20:02:10.958,102, 661
2019-04-02 20:02:11.942,98, 660
2019-04-02 20:02:12.933,97, 692
2019-04-02 20:02:13.929,94, 681
2019-04-02 20:02:15.409,93, 634
2019-04-02 20:02:15.904,93, 645
2019-04-02 20:02:16.892,93, 687
2019-04-02 20:02:17.900,92, 659
2019-04-02 20:02:18.871,92, 691
2019-04-02 20:02:19.865,90, 675
2019-04-02 20:02:20.854,90, 683
2019-04-02 20:02:21.842,90, 671
2019-04-02 20:02:22.837,89, 678
2019-04-02 20:02:23.824,89, 664
2019-04-02 20:02:24.816,89, 663
2019-04-02 20:02:25.806,90, 644
2019-04-02 20:02:26.790,90, 637
2019-04-02 20:02:28.772,92, 625
